i) Weighted Moving average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of America,,,,,Catterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Period,Close Price,Forecast BAC,Absolute error,Date,Close,Forecast CAT,Absolute error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2021,1,41.360001,,,6/14/2021,219.009995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2021,2,41.389999,,,6/15/2021,219.460007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2021,3,41.619999,41.499,0.291,6/16/2021,217.160004,218.220,0.4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2021,4,39.799999,40.664,2.171,6/17/2021,209.449997,213.765,2.0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2021,5,38.779999,39.654,2.254,6/18/2021,208.860001,210.697,0.8795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2021,6,39.75,39.469,0.707,6/21/2021,213.210007,211.153,0.9648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2021,7,39.970001,39.666,0.761,6/22/2021,213.130005,212.300,0.3894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2021,8,40.200001,40.041,0.396,6/23/2021,213.789993,213.476,0.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2021,9,40.830002,40.469,0.884,6/24/2021,219.339996,216.433,1.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2021,10,41.619999,41.099,1.252,6/25/2021,216.309998,216.715,0.1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2021,11,41.560001,41.432,0.308,6/28/2021,216.270004,216.896,0.2895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2021,12,40.889999,41.237,0.849,6/29/2021,215.100006,215.693,0.2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
